hgnc_id	symbol	name	locus_group	locus_type	alias_symbol	prev_symbol	gene_group	gene_group_id	ensembl_gene_id
HGNC:6547	LDLR	low density lipoprotein receptor	protein-coding gene	gene with protein product	LDLCQ2		Low density lipoprotein receptors|MicroRNA protein coding host genes	634|1691	ENSG00000130164
HGNC:29571	LEAP2	liver enriched antimicrobial peptide 2	protein-coding gene	gene with protein product	LEAP-2				ENSG00000164406
HGNC:15500	LENG8	leukocyte receptor cluster member 8	protein-coding gene	gene with protein product	KIAA1932|MGC40108|pp13842				ENSG00000167615
HGNC:6562	LGALS2	galectin 2	protein-coding gene	gene with protein product	HL14		Galectins	629	ENSG00000100079
HGNC:6569	LGALS8	galectin 8	protein-coding gene	gene with protein product	PCTA-1		Galectins	629	ENSG00000116977
HGNC:9472	LGMN	legumain	protein-coding gene	gene with protein product	LGMN1	PRSC1	Cysteine endopeptidases	4148	ENSG00000100600
HGNC:6589	LHFPL3	LHFPL tetraspan subfamily member 3	protein-coding gene	gene with protein product		LHFPL4	LHFPL tetraspan proteins	1489	ENSG00000187416
HGNC:14216	LHX5	LIM homeobox 5	protein-coding gene	gene with protein product			LIM class homeoboxes	522	ENSG00000089116
HGNC:6598	LIG1	DNA ligase 1	protein-coding gene	gene with protein product	LIGI|hLig1		DNA ligases|Nucleotide excision repair	1247|1269	ENSG00000105486
HGNC:16309	LILRA5	leukocyte immunoglobulin like receptor A5	protein-coding gene	gene with protein product	ILT11|LIR9|CD85|CD85f	LILRB7	CD molecules|Activating leukocyte immunoglobulin like receptors	471|1181	ENSG00000187116
HGNC:6605	LILRB1	leukocyte immunoglobulin like receptor B1	protein-coding gene	gene with protein product	LIR-1|ILT2|MIR-7|CD85|LIR1|CD85j|PIRB|PIR-B		CD molecules|Inhibitory leukocyte immunoglobulin like receptors	471|1182	ENSG00000104972
HGNC:6606	LILRB2	leukocyte immunoglobulin like receptor B2	protein-coding gene	gene with protein product	LIR-2|ILT4|MIR-10|LIR2|CD85d|MIR10		CD molecules|Inhibitory leukocyte immunoglobulin like receptors|Ig-like cell adhesion molecule family	471|1182|1410	ENSG00000131042
HGNC:6617	LIPA	lipase A, lysosomal acid type	protein-coding gene	gene with protein product	LAL|CESD		Lipases	464	ENSG00000107798
HGNC:29569	LIPT1	lipoyltransferase 1	protein-coding gene	gene with protein product	MGC12290|MGC13378		Acyltransferases	4120	ENSG00000144182
HGNC:28229	LLPH	LLP homolog, long-term synaptic facilitation factor	protein-coding gene	gene with protein product	MGC14817|hLLP	C12orf31			ENSG00000139233
HGNC:6648	LMOD2	leiomodin 2	protein-coding gene	gene with protein product	C-Lmod		Leiomodins	2118	ENSG00000170807
HGNC:6665	LOXL1	lysyl oxidase like 1	protein-coding gene	gene with protein product	LOXL|LOL		Lysyl oxidase family	4071	ENSG00000129038
HGNC:3168	LPAR2	lysophosphatidic acid receptor 2	protein-coding gene	gene with protein product	EDG-4|LPA2	EDG4	Lysophosphatidic acid receptors	205	ENSG00000064547
HGNC:28985	LPGAT1	lysophosphatidylglycerol acyltransferase 1	protein-coding gene	gene with protein product	KIAA0205|FAM34A1|NET8|LPLAT7	FAM34A	Lysophospholipid acyltransferases	2147	ENSG00000123684
HGNC:20743	LRATD1	LRAT domain containing 1	protein-coding gene	gene with protein product	NSE1|FLJ35392	FAM84A	LRAT domain containing 	1692	ENSG00000162981
HGNC:6692	LRP1	LDL receptor related protein 1	protein-coding gene	gene with protein product	LRP|CD91|LRP1A|APOER|IGFBP3R1|IGFBP-3R	APR|A2MR	CD molecules|Low density lipoprotein receptors|MicroRNA protein coding host genes	471|634|1691	ENSG00000123384
HGNC:14553	LRP10	LDL receptor related protein 10	protein-coding gene	gene with protein product	DKFZP564C1940|MGC8675|LRP9|MST087|MSTP087		Low density lipoprotein receptors	634	ENSG00000197324
HGNC:31708	LRP12	LDL receptor related protein 12	protein-coding gene	gene with protein product	ST7|FLJ12929		Low density lipoprotein receptors	634	ENSG00000147650
HGNC:6701	LRPAP1	LDL receptor related protein associated protein 1	protein-coding gene	gene with protein product	HBP44|Alpha-2-MRAP	A2MRAP|RAP			ENSG00000163956
HGNC:14965	LRRC3	leucine rich repeat containing 3	protein-coding gene	gene with protein product	DKFZP434C128	C21orf102|LRRC3DN|C21orf30			ENSG00000160233
HGNC:28228	LRRC39	leucine rich repeat containing 39	protein-coding gene	gene with protein product	MGC14816|myomasp				ENSG00000122477
HGNC:16917	LRRC41	leucine rich repeat containing 41	protein-coding gene	gene with protein product	MUF1				ENSG00000132128
HGNC:35155	LRRC70	leucine rich repeat containing 70	protein-coding gene	gene with protein product	SLRN|LOC100130733				ENSG00000186105
HGNC:20605	ALS2CL	ALS2 C-terminal like	protein-coding gene	gene with protein product	FLJ36525|RN49018|DKFZp686I0110		Dbl family Rho GEFs|VPS9 domain containing|MORN repeat containing	722|928|3976	ENSG00000178038
HGNC:449	ALX3	ALX homeobox 3	protein-coding gene	gene with protein product		FND	PRD class homeoboxes and pseudogenes	521	ENSG00000156150
HGNC:28577	AMDHD1	amidohydrolase domain containing 1	protein-coding gene	gene with protein product	MGC35366		M38 metallopeptidases	1446	ENSG00000139344
HGNC:24262	AMDHD2	amidohydrolase domain containing 2	protein-coding gene	gene with protein product	CGI-14				ENSG00000162066
HGNC:464	AMH	anti-Mullerian hormone	protein-coding gene	gene with protein product	MIF|MIS		Receptor ligands|MicroRNA protein coding host genes|Transforming growth factor beta superfamily	542|1691|1932	ENSG00000104899
HGNC:477	AMY2A	amylase alpha 2A	protein-coding gene	gene with protein product		AMY2	Amylases alpha	1648	ENSG00000243480
HGNC:16039	ANGPTL4	angiopoietin like 4	protein-coding gene	gene with protein product	pp1158|PGAR|ARP4|HFARP|FIAF|NL2		Fibrinogen C domain containing|Angiopoietin like family	554|905	ENSG00000167772
HGNC:20265	ANKRD10	ankyrin repeat domain 10	protein-coding gene	gene with protein product	FLJ20093		Ankyrin repeat domain containing	403	ENSG00000088448
HGNC:28321	ANKRD22	ankyrin repeat domain 22	protein-coding gene	gene with protein product	MGC22805		Ankyrin repeat domain containing	403	ENSG00000152766
HGNC:27639	ANKRD34A	ankyrin repeat domain 34A	protein-coding gene	gene with protein product		ANKRD34	Ankyrin repeat domain containing	403	ENSG00000272031
HGNC:26323	ANKRD35	ankyrin repeat domain 35	protein-coding gene	gene with protein product	FLJ25124		N-Ank proteins	3601	ENSG00000198483
HGNC:25527	ANKZF1	ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1	protein-coding gene	gene with protein product	FLJ10415|ZNF744|Vms1		Zinc fingers C2H2-type|Ankyrin repeat domain containing	28|403	ENSG00000163516
HGNC:14004	ANO3	anoctamin 3	protein-coding gene	gene with protein product	GENX-3947|DYT23	C11orf25|TMEM16C	Anoctamins	865	ENSG00000134343
HGNC:25519	ANO10	anoctamin 10	protein-coding gene	gene with protein product	FLJ10375|MGC47890|SCAR10	TMEM16K	Anoctamins	865	ENSG00000160746
HGNC:545	ANXA7	annexin A7	protein-coding gene	gene with protein product		ANX7	Annexins	404	ENSG00000138279
HGNC:568	AP3D1	adaptor related protein complex 3 subunit delta 1	protein-coding gene	gene with protein product	ADTD		Clathrin/coatomer adaptor, adaptin-like, N-terminal domain containing|Adaptor related protein complex 3	1493|1673	ENSG00000065000
HGNC:579	APBA2	amyloid beta precursor protein binding family A member 2	protein-coding gene	gene with protein product	D15S1518E|LIN-10|MGC:14091|HsT16821	X11L|MINT2	PDZ domain containing	1220	ENSG00000034053
HGNC:582	APBB2	amyloid beta precursor protein binding family B member 2	protein-coding gene	gene with protein product	FE65L|FE65L1|MGC35575				ENSG00000163697
HGNC:613	APOE	apolipoprotein E	protein-coding gene	gene with protein product		AD2	Apolipoproteins	405	ENSG00000130203
HGNC:14870	APOL6	apolipoprotein L6	protein-coding gene	gene with protein product	APOL-VI|APOLVI		Apolipoproteins	405	ENSG00000221963
HGNC:620	APP	amyloid beta precursor protein	protein-coding gene	gene with protein product	alpha-sAPP	AD1	Receptor ligands	542	ENSG00000142192
HGNC:622	APPBP2	amyloid beta precursor protein binding protein 2	protein-coding gene	gene with protein product	KIAA0228|Hs.84084|PAT1				ENSG00000062725
HGNC:651	AREG	amphiregulin	protein-coding gene	gene with protein product	AR|CRDGF	SDGF|AREGB	EGF ligand family	4052	ENSG00000109321
HGNC:655	ARF4	ARF GTPase 4	protein-coding gene	gene with protein product		ARF2	ARF GTPase family	357	ENSG00000168374
HGNC:17160	ARFIP2	ARF interacting protein 2	protein-coding gene	gene with protein product	POR1		AH domain containing	1921	ENSG00000132254
HGNC:673	ARHGAP1	Rho GTPase activating protein 1	protein-coding gene	gene with protein product	RhoGAP|p50rhoGAP|CDC42GAP|Cdc42GAP		Rho GTPase activating proteins|BCH domain containing |CRAL-TRIO lipid binding domain containing	721|1299|3691	ENSG00000175220
HGNC:23724	ARHGAP19	Rho GTPase activating protein 19	protein-coding gene	gene with protein product	FLJ00194|MGC14258		Rho GTPase activating proteins	721	ENSG00000213390
HGNC:682	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	protein-coding gene	gene with protein product	LFP40|GEF-H1|KIAA0651|P40|Lfc|GEFH1		Pleckstrin homology domain containing|Dbl family Rho GEFs|MicroRNA protein coding host genes	682|722|1691	ENSG00000116584
HGNC:14193	ARHGEF12	Rho guanine nucleotide exchange factor 12	protein-coding gene	gene with protein product	KIAA0382|LARG		Dbl family Rho GEFs|PDZ domain containing	722|1220	ENSG00000196914
HGNC:25968	ARHGEF38	Rho guanine nucleotide exchange factor 38	protein-coding gene	gene with protein product	FLJ20184		Dbl family Rho GEFs|BAR and Dbl domain containing|SH3 domain containing	722|1924|4034	ENSG00000236699
HGNC:15550	ARID4B	AT-rich interaction domain 4B	protein-coding gene	gene with protein product	BCAA|BRCAA1|SAP180	RBP1L1	AT-rich interaction domain containing|MicroRNA protein coding host genes	418|1691	ENSG00000054267
HGNC:17362	ARID5B	AT-rich interaction domain 5B	protein-coding gene	gene with protein product	FLJ21150|MRF2		AT-rich interaction domain containing	418	ENSG00000150347
HGNC:698	ARL4C	ARF like GTPase 4C	protein-coding gene	gene with protein product	LAK	ARL7	ARF GTPase family	357	ENSG00000188042
HGNC:32387	ARL17B	ARF like GTPase 17B	protein-coding gene	gene with protein product		ARL17	ARF GTPase family|Proteins encoded by multiple genes	357|2293	ENSG00000228696
HGNC:16876	ARNT2	aryl hydrocarbon receptor nuclear translocator 2	protein-coding gene	gene with protein product	KIAA0307|bHLHe1		Basic helix-loop-helix proteins|MicroRNA protein coding host genes|PAS domain containing	420|1691|2127	ENSG00000172379
HGNC:705	ARPC2	actin related protein 2/3 complex subunit 2	protein-coding gene	gene with protein product	p34-Arc|ARC34		Actin related protein 2/3 complex subunits	39	ENSG00000163466
HGNC:16967	ARPP19	cAMP regulated phosphoprotein 19	protein-coding gene	gene with protein product	ARPP-19|ARPP-16|ARPP16|ENSAL				ENSG00000128989
HGNC:711	ARRB1	arrestin beta 1	protein-coding gene	gene with protein product		ARR1	Classical arrestins|MicroRNA protein coding host genes	1312|1691	ENSG00000137486
HGNC:31407	ARRDC5	arrestin domain containing 5	protein-coding gene	gene with protein product			Alpha arrestins	1311	ENSG00000205784
HGNC:717	ARSD	arylsulfatase D	protein-coding gene	gene with protein product	ASD		Sulfatases	410	ENSG00000006756
HGNC:723	ART1	ADP-ribosyltransferase 1	protein-coding gene	gene with protein product	ART2|CD296|ARTC1		CD molecules|ADP-ribosyltransferase family	471|2030	ENSG00000129744
HGNC:735	ASAH1	N-acylsphingosine amidohydrolase 1	protein-coding gene	gene with protein product	AC|PHP32|FLJ21558|ACDase	ASAH			ENSG00000104763
HGNC:19770	ASB18	ankyrin repeat and SOCS box containing 18	protein-coding gene	gene with protein product			Ankyrin repeat domain containing	403	ENSG00000182177
HGNC:18697	ASCC3	activating signal cointegrator 1 complex subunit 3	protein-coding gene	gene with protein product	RNAH|ASC1p200|dJ121G13.4|dJ467N11.1	HELIC1	Activating signal cointegrator 1 complex|DexD/H helicases	1916|3332	ENSG00000112249
HGNC:14872	ASPN	asporin	protein-coding gene	gene with protein product	FLJ20129|SLRR1C|PLAP-1		Small leucine rich repeat proteoglycans	573	ENSG00000106819
HGNC:783	ATF1	activating transcription factor 1	protein-coding gene	gene with protein product	TREB36		CREB1 transcription factor family	3833	ENSG00000123268
HGNC:785	ATF3	activating transcription factor 3	protein-coding gene	gene with protein product			Activating transcription factor 3 family	3845	ENSG00000162772
HGNC:790	ATF5	activating transcription factor 5	protein-coding gene	gene with protein product			MicroRNA protein coding host genes|Activating transcription factor 4 family	1691|3843	ENSG00000169136
HGNC:791	ATF6	activating transcription factor 6	protein-coding gene	gene with protein product	ATF6A|ATP6alpha		Activating transcription factor 6 family	3846	ENSG00000118217
HGNC:17162	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	protein-coding gene	gene with protein product	YER146W		LSm proteins	1505	ENSG00000106355
HGNC:17017	LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	protein-coding gene	gene with protein product	YDR378C		LSm proteins	1505	ENSG00000164167
HGNC:15887	LSM14B	LSM family member 14B	protein-coding gene	gene with protein product	FT005|bA11M20.3|FLJ25473|LSM13|RAP55B	C20orf40|FAM61B	LSm proteins	1505	ENSG00000149657
HGNC:29572	LSR	lipolysis stimulated lipoprotein receptor	protein-coding gene	gene with protein product	LISCH7|ILDR3		Immunoglobulin like domain containing	594	ENSG00000105699
HGNC:6711	LTB	lymphotoxin beta	protein-coding gene	gene with protein product	p33|TNFSF3	TNFC	Tumor necrosis factor superfamily	781	ENSG00000227507
HGNC:6720	LTF	lactotransferrin	protein-coding gene	gene with protein product	HLF2		Transferrins	908	ENSG00000012223
HGNC:21608	LUC7L2	LUC7 like 2, pre-mRNA splicing factor	protein-coding gene	gene with protein product	CGI-74|CGI-59|H_NH0792N18.3|FLJ10657|LUC7B2|hLuc7B2				ENSG00000146963
HGNC:13931	LY6G5B	lymphocyte antigen 6 family member G5B	protein-coding gene	gene with protein product	G5b	C6orf19	LY6/PLAUR domain containing	1226	ENSG00000240053
HGNC:6735	LYN	LYN proto-oncogene, Src family tyrosine kinase	protein-coding gene	gene with protein product	JTK8		SH2 domain containing|Src family tyrosine kinases|SH3 domain containing	741|1388|4034	ENSG00000254087
HGNC:6737	LYPLA1	lysophospholipase 1	protein-coding gene	gene with protein product	LPL1|APT-1|APT1		Depalmitoylases|Thioester hydrolases	1749|4119	ENSG00000120992
HGNC:25074	LYRM1	LYR motif containing 1	protein-coding gene	gene with protein product	A211C6.1		LYR motif containing	635	ENSG00000102897
HGNC:28072	LYRM7	LYR motif containing 7	protein-coding gene	gene with protein product	FLJ20796|MZM1L	C5orf31	LYR motif containing|Mitochondrial respiratory chain complex assembly factors	635|645	ENSG00000186687
HGNC:13664	MACF1	microtubule actin crosslinking factor 1	protein-coding gene	gene with protein product	KIAA0465|ACF7|ABP620|KIAA1251|MACF|FLJ45612|FLJ46776|Lnc-PMIF	KIAA0754	EF-hand domain containing|Plakins|Spectrin repeat containing|SH3 domain containing	863|939|3626|4034	ENSG00000127603
HGNC:27441	MAJIN	membrane anchored junction protein	protein-coding gene	gene with protein product		C11orf85			ENSG00000168070
HGNC:6817	MAL	mal, T cell differentiation protein (MAL blood group)	protein-coding gene	gene with protein product	MVP17|VIP17		Blood group antigens|MARVEL domain containing	454|1626	ENSG00000172005
HGNC:6819	MALT1	MALT1 paracaspase	protein-coding gene	gene with protein product	PCASP1	MLT	Immunoglobulin like domain containing|CBM complex|Cysteine endopeptidases	594|1405|4148	ENSG00000172175
HGNC:2568	MAMLD1	mastermind like domain containing 1	protein-coding gene	gene with protein product	CG1|F18	CXorf6			ENSG00000013619
HGNC:19080	MAN1C1	mannosidase alpha class 1C member 1	protein-coding gene	gene with protein product	HMIC		Mannosidases alpha class 1	1193	ENSG00000117643
HGNC:6826	MAN2B1	mannosidase alpha class 2B member 1	protein-coding gene	gene with protein product	LAMAN	MANB	Mannosidases alpha class 2	1194	ENSG00000104774
HGNC:6842	MAP2K2	mitogen-activated protein kinase kinase 2	protein-coding gene	gene with protein product	MEK2|MKK2	PRKMK2	Mitogen-activated protein kinase kinases	653	ENSG00000126934
HGNC:6845	MAP2K5	mitogen-activated protein kinase kinase 5	protein-coding gene	gene with protein product	MEK5|MAPKK5|HsT17454	PRKMK5	Mitogen-activated protein kinase kinases	653	ENSG00000137764
HGNC:6856	MAP3K4	mitogen-activated protein kinase kinase kinase 4	protein-coding gene	gene with protein product	MTK1|MAPKKK4|KIAA0213	MEKK4	Mitogen-activated protein kinase kinase kinases|STE11 kinase family	654|3771	ENSG00000085511
HGNC:6866	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding gene	gene with protein product	HGK|NIK|FLH21957		MAP4K family (GCK-IV subfamily)	3775	ENSG00000071054
HGNC:6867	MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5	protein-coding gene	gene with protein product	KHS1|GCKR|KHS		MAP4K family (GCK-I subfamily)	3776	ENSG00000012983
HGNC:25753	MAP6D1	MAP6 domain containing 1	protein-coding gene	gene with protein product	FLJ12748|SL21				ENSG00000180834
HGNC:6869	MAP7	microtubule associated protein 7	protein-coding gene	gene with protein product	E-MAP-115		Microtubule associated protein 7 family	4017	ENSG00000135525
HGNC:19840	MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like	protein-coding gene	gene with protein product		C14orf32			ENSG00000168175
HGNC:6886	MAPK9	mitogen-activated protein kinase 9	protein-coding gene	gene with protein product	JNK2|p54a|SAPK	PRKM9	Mitogen-activated protein kinase 8-10 (JNK) family	3761	ENSG00000050748
HGNC:6875	MAPK13	mitogen-activated protein kinase 13	protein-coding gene	gene with protein product	SAPK4|p38delta	PRKM13	Mitogen-activated protein kinase 11-14 (p38) family	3764	ENSG00000156711
HGNC:6887	MAPKAPK2	MAPK activated protein kinase 2	protein-coding gene	gene with protein product	MK2		MAPK activated protein kinases|MAPKAPK family	1156|3552	ENSG00000162889
HGNC:6888	MAPKAPK3	MAPK activated protein kinase 3	protein-coding gene	gene with protein product	3pK|MAPKAP3|3PK|MK-3|MK3		MAPK activated protein kinases|MAPKAPK family	1156|3552	ENSG00000114738
HGNC:6889	MAPKAPK5	MAPK activated protein kinase 5	protein-coding gene	gene with protein product	PRAK|MK5		MAPK activated protein kinases|MAPKAPK family	1156|3552	ENSG00000089022
HGNC:13961	MAS1L	MAS1 proto-oncogene like, G protein-coupled receptor	protein-coding gene	gene with protein product	MAS-L|MRG|dJ994E9.2		G protein-coupled receptors, Class A orphans	262	ENSG00000204687
HGNC:19035	MAST2	microtubule associated serine/threonine kinase 2	protein-coding gene	gene with protein product	MAST205|KIAA0807		PDZ domain containing|Microtubule associated serine/threonine kinase family	1220|3486	ENSG00000086015
HGNC:6904	MAT2A	methionine adenosyltransferase 2A	protein-coding gene	gene with protein product	SAMS2|MATA2|MATII|MAT-II		Methionine adenosyltransferase family	2234	ENSG00000168906
HGNC:29140	MAU2	MAU2 sister chromatid cohesion factor	protein-coding gene	gene with protein product	MGC75361|mau-2|MAU2L|SCC4	KIAA0892			ENSG00000129933
HGNC:6923	MBNL1	muscleblind like splicing regulator 1	protein-coding gene	gene with protein product	KIAA0428|EXP42|EXP40|EXP35|EXP	MBNL	Zinc fingers CCCH-type|Muscleblind like splicing regulator family	73|3725	ENSG00000152601
HGNC:16746	MBNL2	muscleblind like splicing regulator 2	protein-coding gene	gene with protein product	MBLL|MBLL39		Zinc fingers CCCH-type|Muscleblind like splicing regulator family	73|3725	ENSG00000139793
HGNC:25193	MBOAT2	membrane bound glycerophospholipid O-acyltransferase 2	protein-coding gene	gene with protein product	FLJ14415|FLJ90298|LPLAT13	OACT2	Membrane bound O-acyltransferase family|Lysophospholipid acyltransferases	1036|2147	ENSG00000143797
HGNC:15505	MBOAT7	membrane bound acylglycerophosphatidylinositol O-acyltransferase MBOAT7	protein-coding gene	gene with protein product	BB1|hMBOA-7|LPLAT|LPIAT1|LPLAT11	LENG4	Membrane bound O-acyltransferase family|Lysophospholipid acyltransferases	1036|2147	ENSG00000125505
HGNC:15456	MBTPS1	membrane bound transcription factor peptidase, site 1	protein-coding gene	gene with protein product	S1P|KIAA0091|SKI-1|PCSK8		Proprotein convertase subtilisin/kexin family	973	ENSG00000140943
HGNC:6930	MC2R	melanocortin 2 receptor	protein-coding gene	gene with protein product	ACTHR		Melanocortin receptors	236	ENSG00000185231
HGNC:40050	MCIDAS	multiciliate differentiation and DNA synthesis associated cell cycle protein	protein-coding gene	gene with protein product	MCI|IDAS	MCIN			ENSG00000234602
HGNC:6945	MCM3	minichromosome maintenance complex component 3	protein-coding gene	gene with protein product			MCM family|minichromosome maintenance 2-7 complex	1085|1998	ENSG00000112118
HGNC:6948	MCM5	minichromosome maintenance complex component 5	protein-coding gene	gene with protein product		CDC46	MCM family|minichromosome maintenance 2-7 complex	1085|1998	ENSG00000100297
HGNC:13356	MCOLN1	mucolipin TRP cation channel 1	protein-coding gene	gene with protein product	TRPML1|ML4|MLIV|MST080|MSTP080|TRPM-L1		Mucolipin TRP cation channel family	4031	ENSG00000090674
HGNC:13357	MCOLN2	mucolipin TRP cation channel 2	protein-coding gene	gene with protein product	TRPML2|FLJ36691|TRP-ML2		Mucolipin TRP cation channel family	4031	ENSG00000153898
HGNC:21097	MCUR1	mitochondrial calcium uniporter regulator 1	protein-coding gene	gene with protein product	FLJ20958	C6orf79|CCDC90A	MCU complex subunits	3507	ENSG00000050393
HGNC:18302	MDN1	midasin AAA ATPase 1	protein-coding gene	gene with protein product	KIAA0301|Rea1		AAA ATPases	413	ENSG00000112159
HGNC:6984	ME2	malic enzyme 2	protein-coding gene	gene with protein product			Malic enzyme family	4091	ENSG00000082212
HGNC:3498	MECOM	MDS1 and EVI1 complex locus	protein-coding gene	gene with protein product	MDS1-EVI1|PRDM3|KMT8E	MDS1|EVI1	Zinc fingers C2H2-type|PR/SET domain family|Putative lysine methyltransferases	28|1197|3513	ENSG00000085276
HGNC:11957	MED12	mediator complex subunit 12	protein-coding gene	gene with protein product	CAGH45|HOPA|OPA1|TRAP230|KIAA0192|OKS|ARC240|Kto	TNRC11|FGS1	Mediator complex	1061	ENSG00000184634
HGNC:11473	MED21	mediator complex subunit 21	protein-coding gene	gene with protein product	SRB7	SURB7	Mediator complex	1061	ENSG00000152944
HGNC:6996	MEF2C	myocyte enhancer factor 2C	protein-coding gene	gene with protein product			Myocyte enhancer factor 2 proteins|MADS box family	649|1086	ENSG00000081189
HGNC:3232	MEGF6	multiple EGF like domains 6	protein-coding gene	gene with protein product		EGFL3	MicroRNA protein coding host genes	1691	ENSG00000162591
HGNC:26670	MEIOC	meiosis specific with coiled-coil domain	protein-coding gene	gene with protein product	FLJ35848	C17orf104			ENSG00000180336
HGNC:16870	MELK	maternal embryonic leucine zipper kinase	protein-coding gene	gene with protein product	KIAA0175		MELK family kinases	2137	ENSG00000165304
HGNC:7028	MEST	mesoderm specific transcript	protein-coding gene	gene with protein product	PEG1		MicroRNA protein coding host genes	1691	ENSG00000106484
HGNC:14151	METRN	meteorin, glial cell differentiation regulator	protein-coding gene	gene with protein product	MGC2601	C16orf23			ENSG00000103260
HGNC:28793	METTL18	methyltransferase 18, RPL3 N3(tau)-histidine	protein-coding gene	gene with protein product	MGC9084|AsTP2|HPM1	C1orf156	7BS protein methyltransferases|7BS protein histidine methyltransferases|Histidine methyltransferases	2058|3367|3368	ENSG00000171806
HGNC:18121	MFRP	membrane frizzled-related protein	protein-coding gene	gene with protein product	FLJ30570|rd6|NNO2|C1QTNF5				ENSG00000235718
HGNC:7064	MGST3	microsomal glutathione S-transferase 3	protein-coding gene	gene with protein product	GST-III		Microsomal glutathione S-transferases|MAPEG superfamily	1469|3528	ENSG00000143198
HGNC:7076	MIA	MIA SH3 domain containing	protein-coding gene	gene with protein product	CD-RAP|MIA1		MIA family|SH3 domain containing	1300|4034	ENSG00000261857
HGNC:29804	MICALL1	MICAL like 1	protein-coding gene	gene with protein product	MIRAB13|KIAA1668|MICAL-L1		LIM domain containing|Bivalent Mical/EHBP Rab binding domain containing	1218|1816	ENSG00000100139
HGNC:7091	MICB	MHC class I polypeptide-related sequence B	protein-coding gene	gene with protein product	PERB11.2		C1-set domain containing|MIC family	591|4012	ENSG00000204516
HGNC:7095	MID1	midline 1	protein-coding gene	gene with protein product	OS|FXY|TRIM18|RNF59		Ring finger proteins|Tripartite motif family|Fibronectin type III domain containing|RING finger E3 ubiquitin protein ligases	58|59|555|4163	ENSG00000101871
HGNC:7097	MIF	macrophage migration inhibitory factor	protein-coding gene	gene with protein product	GIF	GLIF	MIF family	3598	ENSG00000240972
HGNC:25648	MINDY1	MINDY lysine 48 deubiquitinase 1	protein-coding gene	gene with protein product	FLJ11280|MINDY-1	FAM63A	MINDY deubiquitinases	1376	ENSG00000143409
HGNC:35475	MINDY4B	MINDY family member 4B	protein-coding gene	gene with protein product		C3orf76|FAM188B2	MINDY deubiquitinases	1376	ENSG00000214237
HGNC:17565	MINK1	misshapen like kinase 1	protein-coding gene	gene with protein product	B55|MINK|ZC3|MAP4K6|YSK2		STRIPAK complex|Armadillo like helical domain containing|MAP4K family (GCK-IV subfamily)	1371|1492|3775	ENSG00000141503
HGNC:30780	MIR9-1HG	MIR9-1 host gene	non-coding RNA	RNA, long non-coding	CROC4	C1orf61	MicroRNA non-coding host genes	1688	ENSG00000125462
HGNC:1286	MIS18A	MIS18 kinetochore protein A	protein-coding gene	gene with protein product	B28|FASP1|hMis18alpha	C21orf46|C21orf45			ENSG00000159055
HGNC:13363	MIXL1	Mix paired-like homeobox	protein-coding gene	gene with protein product	MILD1|MIXL		PRD class homeoboxes and pseudogenes	521	ENSG00000185155
HGNC:7107	MKI67	marker of proliferation Ki-67	protein-coding gene	gene with protein product	MIB-1|PPP1R105|Ki-67		Protein phosphatase 1 regulatory subunits	694	ENSG00000148773
HGNC:7110	MKNK1	MAPK interacting serine/threonine kinase 1	protein-coding gene	gene with protein product	MNK1		MAPK activated protein kinases|MAPK interacting serine/threonine kinase family	1156|3551	ENSG00000079277
HGNC:7121	MKS1	MKS transition zone complex subunit 1	protein-coding gene	gene with protein product	FLJ20345|POC12|BBS13	MKS	B9 domain containing|MKS complex	1535|1545	ENSG00000011143
HGNC:28973	MLEC	malectin	protein-coding gene	gene with protein product		KIAA0152			ENSG00000110917
HGNC:7125	MLF1	myeloid leukemia factor 1	protein-coding gene	gene with protein product			Myeloid leukemia factor family	3891	ENSG00000178053
HGNC:26617	MLKL	mixed lineage kinase domain like pseudokinase	protein-coding gene	gene with protein product	FLJ34389		Pseudokinases	1678	ENSG00000168404
HGNC:16063	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	protein-coding gene	gene with protein product	AF10		PHD finger proteins	88	ENSG00000078403
HGNC:16997	MLLT11	MLLT11 transcription factor 7 cofactor	protein-coding gene	gene with protein product	AF1Q				ENSG00000213190
HGNC:7153	MMD	monocyte to macrophage differentiation associated	protein-coding gene	gene with protein product	MMA|PAQR11		Progestin and adipoQ receptor family	930	ENSG00000108960
HGNC:7154	MME	membrane metalloendopeptidase	protein-coding gene	gene with protein product	CALLA|CD10|NEP		CD molecules|M13 metallopeptidases|Elastases	471|1439|3607	ENSG00000196549
HGNC:7155	MMP1	matrix metallopeptidase 1	protein-coding gene	gene with protein product		CLG	Receptor ligands|M10 matrix metallopeptidases	542|891	ENSG00000196611
HGNC:7166	MMP2	matrix metallopeptidase 2	protein-coding gene	gene with protein product	MMP-2|TBE-1	CLG4|CLG4A	M10 matrix metallopeptidases|Elastases	891|3607	ENSG00000087245
