hgnc_id	symbol	name	locus_group	locus_type	alias_symbol	prev_symbol	gene_group	gene_group_id	ensembl_gene_id
HGNC:26366	FAM187B	family with sequence similarity 187 member B	protein-coding gene	gene with protein product	FLJ25660	TMEM162			ENSG00000177558
HGNC:29288	FAM234B	family with sequence similarity 234 member B	protein-coding gene	gene with protein product		KIAA1467			ENSG00000084444
HGNC:53217	FAM237B	family with sequence similarity 237 member B	protein-coding gene	gene with protein product	NPGM				ENSG00000283267
HGNC:53430	FAM240B	family with sequence similarity 240 member B	protein-coding gene	gene with protein product					ENSG00000283329
HGNC:11920	FAS	Fas cell surface death receptor	protein-coding gene	gene with protein product	CD95|APO-1	FAS1|APT1|TNFRSF6	CD molecules|Tumor necrosis factor receptor superfamily|Death inducing signaling complex	471|782|1342	ENSG00000026103
HGNC:25790	FASTKD5	FASTK mitochondrial RNA regulator 5	protein-coding gene	gene with protein product	FLJ13149		FASTK mitochondrial RNA binding family	1538	ENSG00000215251
HGNC:3595	FAT1	FAT atypical cadherin 1	protein-coding gene	gene with protein product	CDHF7|CDHR8	FAT	Cadherin related	24	ENSG00000083857
HGNC:1334	FAXDC2	fatty acid hydroxylase domain containing 2	protein-coding gene	gene with protein product	FLJ13758	C5orf4	Fatty acid hydroxylase domain containing	552	ENSG00000170271
HGNC:24674	FBF1	Fas binding factor 1	protein-coding gene	gene with protein product	FLJ00103|FBF-1|KIAA1863|ALB				ENSG00000188878
HGNC:3601	FBLN2	fibulin 2	protein-coding gene	gene with protein product			Fibulins	556	ENSG00000163520
HGNC:13611	FBXL12	F-box and leucine rich repeat protein 12	protein-coding gene	gene with protein product	FLJ20188|Fbl12		F-box and leucine rich repeat proteins	558	ENSG00000127452
HGNC:21658	FBXL13	F-box and leucine rich repeat protein 13	protein-coding gene	gene with protein product	MGC21636|Fbl13|DRC6|CFAP169		F-box and leucine rich repeat proteins|Dynein regulatory complex|Cilia and flagella associated	558|981|1491	ENSG00000161040
HGNC:13586	FBXO7	F-box protein 7	protein-coding gene	gene with protein product	FBX7|Fbx|PARK15		F-boxes other	560	ENSG00000100225
HGNC:13590	FBXO11	F-box protein 11	protein-coding gene	gene with protein product	FBX11|UBR6		F-boxes other|Ubiquitin protein ligase E3 component n-recognins	560|785	ENSG00000138081
HGNC:13592	FBXO21	F-box protein 21	protein-coding gene	gene with protein product	FBX21|KIAA0875		F-boxes other	560	ENSG00000135108
HGNC:24692	FCAMR	Fc alpha and mu receptor	protein-coding gene	gene with protein product	FKSG87|FCA/MR|CD351|Fcalpha/muR		CD molecules|V-set domain containing|Fc receptors	471|590|2120	ENSG00000162897
HGNC:13572	FCGBP	Fc gamma binding protein	protein-coding gene	gene with protein product	FC(GAMMA)BP|FcgammaBP				ENSG00000275395
HGNC:29002	FCHO1	FCH and mu domain containing endocytic adaptor 1	protein-coding gene	gene with protein product	KIAA0290		F-BAR domain containing	1288	ENSG00000130475
HGNC:3629	FDFT1	farnesyl-diphosphate farnesyltransferase 1	protein-coding gene	gene with protein product	SQS				ENSG00000079459
